;outcome;purpose_;dti;borrower_score;payment_inc_ratio
3601;default;debt_consolidation;7.86;0.45;105.562
32682;paid off;debt_consolidation;17.34;0.45;939.172
28425;paid off;debt_consolidation;21.9;0.55;235.527
26565;paid off;debt_consolidation;6.18;0.6;342.268
9564;default;debt_consolidation;14.25;0.35;51.689
23138;paid off;credit_card;20;0.55;65.328
12119;default;credit_card;8.61;0.55;58.128
44995;paid off;debt_consolidation;21.65;0.4;108.477
16413;default;debt_consolidation;18.02;0.35;144.902
1694;default;debt_consolidation;11.63;0.45;401.591
4267;default;debt_consolidation;19.62;0.4;131.492
9027;default;debt_consolidation;7.2;0.65;40.832
6952;default;credit_card;13.5;0.45;946.525
8028;default;debt_consolidation;17.37;0.45;874.548
9725;default;home_improvement;22.63;0.5;110.157
40322;paid off;debt_consolidation;15.92;0.55;43.864
13767;default;credit_card;20.81;0.45;186.859
26774;paid off;credit_card;16.91;0.5;145.938
42784;paid off;debt_consolidation;20.33;0.4;231.257
34119;paid off;debt_consolidation;22.81;0.7;786.265
13039;default;debt_consolidation;14.9;0.55;104.258
37858;paid off;debt_consolidation;19.73;0.45;669.671
7766;default;debt_consolidation;3.26;0.55;49.814
21887;default;debt_consolidation;27.44;0.35;6.884
38575;paid off;debt_consolidation;29.92;0.8;310.272
38270;paid off;major_purchase;18.53;0.4;174.975
26562;paid off;home_improvement;13.51;0.8;126.846
19338;default;credit_card;21.08;0.6;187.267
4887;default;small_business;4.25;0.65;711.404
4399;default;debt_consolidation;8.49;0.55;370.653
22998;default;credit_card;11.09;0.4;110.899
38004;paid off;debt_consolidation;10.03;0.3;686.583
2393;default;home_improvement;25.5;0.35;232.625
32360;paid off;credit_card;19.6;0.4;14.723
5969;default;debt_consolidation;12.27;0.55;136.237
11951;default;debt_consolidation;19.82;0.4;222.711
15791;default;debt_consolidation;22.32;0.55;83.847
13607;default;debt_consolidation;33.63;0.4;189.266
5558;default;home_improvement;14.2;0.3;219.975
26019;paid off;credit_card;10.12;0.4;350.452
3331;default;credit_card;15.69;0.45;31.193
44670;paid off;other;9.07;0.8;124.181
25599;paid off;debt_consolidation;15;0.55;147.456
19776;default;other;18.46;0.3;503.748
9454;default;credit_card;17.27;0.4;121.857
32654;paid off;credit_card;15.74;0.6;3.321
36616;paid off;debt_consolidation;12.91;0.5;115.172
30369;paid off;debt_consolidation;20.7;0.45;474.356
6643;default;debt_consolidation;27.56;0.3;68.036
15513;default;credit_card;20.31;0.45;101.241
14662;default;debt_consolidation;22.96;0.6;719.192
8575;default;home_improvement;3.26;0.5;101.851
6724;default;debt_consolidation;24.99;0.35;10.2
24403;paid off;small_business;14.96;0.4;135.106
20710;default;credit_card;14.37;0.2;133.586
31756;paid off;credit_card;10.77;0.5;101.669
45506;paid off;debt_consolidation;13.68;0.4;78.722
41398;paid off;debt_consolidation;2;0.6;360.836
36893;paid off;debt_consolidation;21.65;0.55;902.328
32089;paid off;credit_card;13.76;0.7;117.677
29575;paid off;credit_card;23.1;0.35;171.497
14714;default;credit_card;19.58;0.45;122.528
38198;paid off;debt_consolidation;24.4;0.4;43.794
32826;paid off;debt_consolidation;22.09;0.6;772.842
30663;paid off;debt_consolidation;31.14;0.55;929.468
30325;paid off;debt_consolidation;25.38;0.3;121.161
5523;default;debt_consolidation;13.36;0.6;615.938
33812;paid off;other;3.3;0.65;48.146
19895;default;other;16.41;0.5;239.527
27743;paid off;debt_consolidation;13.33;0.55;54.589
19795;default;major_purchase;11.63;0.5;185.257
24076;paid off;other;23.38;0.55;401.974
5986;default;small_business;25.03;0.5;405.024
6308;default;debt_consolidation;16.67;0.55;119.562
44369;paid off;debt_consolidation;23.64;0.4;114.246
25400;paid off;debt_consolidation;12.4;0.65;4.633
44535;paid off;debt_consolidation;24.17;0.6;648.681
42230;paid off;other;20.83;0.3;62.946
42334;paid off;debt_consolidation;17.16;0.55;961.636
35940;paid off;debt_consolidation;12;0.35;111.455
42842;paid off;debt_consolidation;6;0.6;584.107
21722;default;debt_consolidation;16.9;0.65;521.957
42960;paid off;credit_card;20.69;0.55;296.373
37107;paid off;major_purchase;16.64;0.45;791.089
21129;default;debt_consolidation;26.72;0.35;820.461
25279;paid off;credit_card;11.3;0.45;712.901
34535;paid off;credit_card;14.84;0.6;234.424
14821;default;major_purchase;5.72;0.35;184.406
15317;default;debt_consolidation;11.8;0.35;513.325
35079;paid off;debt_consolidation;15.74;0.45;335.863
41331;paid off;debt_consolidation;30.32;0.6;70.848
8749;default;medical;4.4;0.6;2.728
24515;paid off;debt_consolidation;32.95;0.6;104.492
32648;paid off;debt_consolidation;11.33;0.25;48.756
8187;default;debt_consolidation;29.56;0.4;114.334
24929;paid off;debt_consolidation;24.28;0.7;11.294
11167;default;debt_consolidation;2.79;0.6;699.231
24070;paid off;debt_consolidation;13.4;0.5;134.886
15877;default;debt_consolidation;27.56;0.4;385.686
37751;paid off;debt_consolidation;20.56;0.6;748.667
14616;default;credit_card;32.32;0.65;805.246
13588;default;other;21.24;0.4;197.104
38137;paid off;credit_card;2.51;0.45;506.205
7809;default;small_business;7.3;0.5;302.107
21200;default;credit_card;13.04;0.55;494.912
36236;paid off;debt_consolidation;25.62;0.55;643.826
23712;paid off;debt_consolidation;19.99;0.5;462.795
5161;default;other;7.31;0.5;397.765
35235;paid off;debt_consolidation;18.21;0.65;771.173
5194;default;other;8.79;0.45;155.629
32892;paid off;debt_consolidation;26.44;0.55;502.311
20490;default;debt_consolidation;11.24;0.5;868.167
13854;default;debt_consolidation;15.39;0.45;138.847
39569;paid off;debt_consolidation;23.64;0.65;557.578
398;default;credit_card;20.62;0.65;100.385
46040;paid off;other;8.36;0.45;809.928
20930;default;major_purchase;16.23;0.45;465.343
8905;default;debt_consolidation;21.15;0.4;69.732
42381;paid off;home_improvement;21.81;0.2;427.535
34585;paid off;credit_card;5.48;0.5;724.706
40076;paid off;debt_consolidation;14.55;0.25;191.007
37124;paid off;credit_card;12.8;0.5;944.192
14927;default;credit_card;9.48;0.45;52.647
27362;paid off;home_improvement;6.34;0.6;59.944
31595;paid off;debt_consolidation;3.8;0.7;368.445
15593;default;debt_consolidation;16.67;0.55;13.499
3822;default;debt_consolidation;7.66;0.45;734.477
635;default;debt_consolidation;8.86;0.45;58.584
27062;paid off;small_business;5.98;0.7;303.273
1153;default;other;16.95;0.4;475.025
36328;paid off;debt_consolidation;11.65;0.45;647.904
23576;paid off;major_purchase;4.34;0.5;126.034
7250;default;debt_consolidation;24.43;0.6;128.755
27581;paid off;debt_consolidation;18.67;0.55;768.804
14904;default;credit_card;21.07;0.5;732.976
14576;default;debt_consolidation;17.66;0.45;101.666
21258;default;debt_consolidation;18.28;0.3;125.124
16411;default;debt_consolidation;18.37;0.5;12.048
14987;default;other;17.98;0.4;51.534
14651;default;debt_consolidation;18.98;0.35;101.111
29709;paid off;debt_consolidation;11.5;0.5;894.425
25877;paid off;debt_consolidation;9.34;0.45;441.497
23675;paid off;debt_consolidation;16.53;0.45;317.662
30841;paid off;credit_card;14.4;0.6;125.889
38815;paid off;credit_card;10.32;0.65;294.086
35051;paid off;debt_consolidation;8.58;0.3;552.232
7877;default;home_improvement;15.08;0.25;752.931
15250;default;debt_consolidation;22.14;0.3;382.291
22945;default;debt_consolidation;17.87;0.6;125.692
4138;default;debt_consolidation;11.59;0.45;795.346
36948;paid off;debt_consolidation;17.59;0.6;864.912
42830;paid off;credit_card;20.64;0.45;508.368
12876;default;debt_consolidation;24.41;0.55;419.376
4187;default;other;17.57;0.35;493.924
24249;paid off;credit_card;28.06;0.45;965.945
7290;default;credit_card;30.02;0.35;153.862
45857;paid off;home_improvement;18.74;0.5;559.229
16646;default;debt_consolidation;16.18;0.55;7.306
16747;default;other;3.4;0.65;133.088
37753;paid off;debt_consolidation;17.29;0.5;347.963
19969;default;debt_consolidation;13.3;0.6;125.246
34963;paid off;home_improvement;5.61;0.65;20.586
41517;paid off;debt_consolidation;2.24;0.45;354.657
6552;default;debt_consolidation;28.06;0.3;759.699
14279;default;debt_consolidation;12.79;0.45;982.954
27125;paid off;debt_consolidation;14.09;0.7;312.906
30457;paid off;major_purchase;9.84;0.6;196.195
5905;default;credit_card;22.13;0.55;250.007
44112;paid off;debt_consolidation;13.36;0.6;13.7
17777;default;debt_consolidation;29.82;0.5;75.936
1586;default;debt_consolidation;13.58;0.6;757.512
39603;paid off;debt_consolidation;19.37;0.55;706.414
5022;default;debt_consolidation;17.24;0.5;53.064
26382;paid off;debt_consolidation;16.2;0.4;110.945
8827;default;debt_consolidation;19.8;0.5;610.111
2613;default;small_business;2.69;0.55;128.317
12072;default;debt_consolidation;32.53;0.15;112.923
13359;default;debt_consolidation;21.12;0.3;923.308
25456;paid off;other;5.67;0.65;156.211
32997;paid off;debt_consolidation;7.72;0.45;145.008
24171;paid off;credit_card;15.05;0.65;181.467
7717;default;debt_consolidation;7.28;0.65;698.366
7394;default;medical;18.79;0.5;74.264
38891;paid off;credit_card;23.3;0.5;502.315
35620;paid off;debt_consolidation;20.21;0.55;585.825
24235;paid off;credit_card;8.35;0.55;41.526
29373;paid off;debt_consolidation;5.08;0.35;783.038
44605;paid off;debt_consolidation;28.22;0.6;852.015
11652;default;small_business;3.88;0.45;101.974
34156;paid off;debt_consolidation;13.17;0.5;449.806
43639;paid off;debt_consolidation;14.04;0.55;0.815313
32161;paid off;credit_card;18.56;0.55;118.985
18733;default;small_business;11.36;0.65;156.102
30036;paid off;debt_consolidation;22.57;0.65;317.802
25581;paid off;debt_consolidation;14.19;0.65;317.727
33232;paid off;debt_consolidation;19.79;0.4;129.468
15721;default;credit_card;9.51;0.5;139.478
21900;default;debt_consolidation;19.53;0.5;106.428
28019;paid off;debt_consolidation;9.39;0.5;697.733
20856;default;debt_consolidation;10.73;0.4;10.336
45246;paid off;debt_consolidation;20.81;0.8;483.918
43077;paid off;debt_consolidation;20.49;0.45;210.594
39961;paid off;debt_consolidation;23.66;0.35;110.606
38480;paid off;debt_consolidation;16.63;0.6;144.174
12955;default;debt_consolidation;10.97;0.55;62.385
1466;default;major_purchase;17.27;0.55;5.995
15384;default;debt_consolidation;29.97;0.6;131.806
3312;default;debt_consolidation;19.61;0.55;586.192
46252;paid off;debt_consolidation;16.73;0.5;149.765
21055;default;debt_consolidation;13.36;0.45;887.572
33083;paid off;credit_card;19.01;0.75;843.347
21428;default;home_improvement;4.24;0.4;367.061
20241;default;debt_consolidation;9.82;0.5;531.147
16673;default;other;8.18;0.65;117.377
14417;default;debt_consolidation;4.11;0.65;148.171
14066;default;debt_consolidation;16.86;0.6;187.648
34087;paid off;other;0.43;0.45;2.83
34337;paid off;debt_consolidation;34.9;0.45;694.416
4589;default;debt_consolidation;7.83;0.35;568.958
12840;default;other;33.93;0.4;151.934
41228;paid off;credit_card;22.14;0.7;471.376
21331;default;debt_consolidation;13.39;0.5;124.348
6601;default;other;25.36;0.2;406.295
2732;default;debt_consolidation;7.62;0.55;135.981
42266;paid off;credit_card;27.93;0.5;739.324
6555;default;debt_consolidation;17.9;0.55;104.232
16522;default;small_business;25.6;0.35;105.906
17631;default;debt_consolidation;17.16;0.4;141.738
41935;paid off;other;11.41;0.35;236.185
26100;paid off;credit_card;23.5;0.55;494.264
37166;paid off;debt_consolidation;26.23;0.55;117.443
33920;paid off;debt_consolidation;19.27;0.5;640.371
6407;default;other;18.09;0.45;696.762
38574;paid off;other;15.93;0.65;307.135
34471;paid off;credit_card;6.35;0.35;956.626
20793;default;debt_consolidation;5.96;0.3;115.796
12323;default;debt_consolidation;17.55;0.6;800.924
11687;default;debt_consolidation;29.25;0.3;901.509
44163;paid off;debt_consolidation;12.74;0.65;336.576
45553;paid off;other;21.54;0.55;110.864
10668;default;debt_consolidation;7.39;0.55;106.623
31026;paid off;debt_consolidation;29.4;0.4;431.571
42585;paid off;credit_card;24.16;0.45;34.123
11656;default;debt_consolidation;20.58;0.3;292.391
39599;paid off;credit_card;9.12;0.55;61.656
35181;paid off;debt_consolidation;12.95;0.6;530.253
10742;default;debt_consolidation;4.88;0.6;366.281
44641;paid off;other;13.55;0.65;248.813
26110;paid off;debt_consolidation;19.05;0.4;171.908
25967;paid off;debt_consolidation;11.06;0.65;139.333
25377;paid off;debt_consolidation;23.06;0.5;686.716
27443;paid off;debt_consolidation;20.14;0.4;949.544
24268;paid off;other;21.66;0.55;154.537
25345;paid off;debt_consolidation;10.87;0.5;33.635
43613;paid off;small_business;9.81;0.7;132.478
20734;default;debt_consolidation;20.27;0.4;114.551
13237;default;credit_card;14.92;0.2;147.162
27769;paid off;home_improvement;5.1;0.5;294.542
23882;paid off;debt_consolidation;24.59;0.5;131.036
26634;paid off;medical;0;0.6;15.192
39714;paid off;debt_consolidation;18.96;0.65;960.468
2369;default;home_improvement;10.55;0.65;737.436
33450;paid off;debt_consolidation;12.79;0.6;105.392
24527;paid off;medical;12.6;0.55;591.257
16800;default;debt_consolidation;21.85;0.5;699.855
17762;default;other;33.73;0.4;503.486
12713;default;credit_card;25.41;0.35;552.539
13106;default;credit_card;19.68;0.4;105.804
31168;paid off;debt_consolidation;15.73;0.6;393.813
5109;default;debt_consolidation;14.33;0.7;493.559
15915;default;debt_consolidation;18.38;0.35;117.734
38095;paid off;credit_card;29.69;0.35;857.195
30076;paid off;home_improvement;18.3;0.7;439.349
4218;default;other;0.46;0.45;2.94
44707;paid off;other;21.75;0.35;290.444
15245;default;debt_consolidation;2.83;0.35;311.625
38776;paid off;debt_consolidation;11.67;0.5;739.186
23298;paid off;debt_consolidation;8.85;0.6;941.777
30712;paid off;other;0.96;0.8;154.864
33551;paid off;debt_consolidation;10.28;0.55;786.277
16059;default;home_improvement;23.82;0.5;617.567
19268;default;debt_consolidation;18.62;0.45;673.104
9270;default;debt_consolidation;8.93;0.5;100.146
42353;paid off;debt_consolidation;11.47;0.6;118.547
33999;paid off;credit_card;14.29;0.35;421.329
15229;default;debt_consolidation;18.13;0.5;478.286
17342;default;credit_card;21.26;0.6;326.606
27396;paid off;debt_consolidation;18.81;0.55;336.135
37819;paid off;credit_card;8.47;0.5;508.885
45266;paid off;other;15.46;0.5;112.952
7757;default;major_purchase;21;0.6;286.448
811;default;small_business;18.53;0.4;106.262
40248;paid off;debt_consolidation;15.3;0.65;157.948
6587;default;other;18.87;0.6;119.808
44801;paid off;major_purchase;11.96;0.6;135.712
20237;default;debt_consolidation;17.72;0.6;117.831
39758;paid off;debt_consolidation;24.8;0.45;100.146
42449;paid off;debt_consolidation;27.72;0.55;539.952
36431;paid off;home_improvement;15.09;0.4;523.664
43699;paid off;home_improvement;6.71;0.45;127.038
12874;default;debt_consolidation;15.04;0.5;698.585
36243;paid off;credit_card;20.64;0.5;6.642
21949;default;home_improvement;15.16;0.45;950.826
31392;paid off;debt_consolidation;23.64;0.7;85.864
37755;paid off;debt_consolidation;29.69;0.45;702.502
23299;paid off;small_business;24.83;0.5;724.727
31975;paid off;debt_consolidation;16.2;0.55;442.152
34154;paid off;major_purchase;17.6;0.45;124.159
35523;paid off;credit_card;7.36;0.4;69.888
23398;paid off;credit_card;29.44;0.4;630.496
21784;default;debt_consolidation;20.6;0.55;126.509
26007;paid off;debt_consolidation;25.6;0.5;64.525
6517;default;credit_card;24.65;0.4;157.941
41864;paid off;debt_consolidation;10.78;0.35;530.009
40326;paid off;debt_consolidation;2.71;0.75;955.981
36025;paid off;debt_consolidation;26.14;0.4;4.74
2476;default;other;16.2;0.45;224.496
4242;default;other;23.84;0.45;10.339
13179;default;other;1.7;0.5;4.891
20353;default;debt_consolidation;9.67;0.45;50.123
11773;default;debt_consolidation;6.58;0.6;127.507
21589;default;other;13.72;0.35;217.375
7300;default;credit_card;31.31;0.3;144.499
18816;default;credit_card;17.33;0.3;444.655
33417;paid off;credit_card;3.42;0.35;28.068
24749;paid off;debt_consolidation;15.15;0.45;152.893
25045;paid off;debt_consolidation;6.57;0.75;109.235
6305;default;debt_consolidation;19.73;0.6;118.681
43366;paid off;credit_card;31.29;0.5;130.549
31245;paid off;credit_card;8.01;0.75;207.424
28402;paid off;other;19.11;0.15;777.401
34163;paid off;debt_consolidation;9.91;0.65;354.422
3288;default;debt_consolidation;5.41;0.35;195.908
38080;paid off;debt_consolidation;7.8;0.45;532.461
13560;default;credit_card;31.29;0.55;119.778
20838;default;debt_consolidation;14.61;0.55;182.411
35855;paid off;credit_card;12.2;0.6;751.485
37439;paid off;small_business;24.04;0.75;5.976
25491;paid off;debt_consolidation;9.25;0.5;339.154
5960;default;home_improvement;17.64;0.6;309.278
4637;default;other;21.02;0.25;155.122
2552;default;other;0;0.25;674.467
36130;paid off;credit_card;19.62;0.7;723.232
30320;paid off;debt_consolidation;10.26;0.4;6.504
13956;default;debt_consolidation;9.17;0.45;726.972
38123;paid off;debt_consolidation;15.17;0.45;661.354
41594;paid off;debt_consolidation;13.11;0.7;11.339
8199;default;debt_consolidation;14.92;0.55;183.567
25697;paid off;home_improvement;3.98;0.55;21.209
992;default;debt_consolidation;21.2;0.55;670.725
44048;paid off;debt_consolidation;5.16;0.45;7.582
27110;paid off;home_improvement;3.03;0.5;8.039
26839;paid off;debt_consolidation;8.7;0.65;700.133
44367;paid off;debt_consolidation;6.84;0.6;85.661
30417;paid off;credit_card;13.93;0.45;416.171
32885;paid off;home_improvement;7.33;0.7;258.426
40573;paid off;home_improvement;5;0.65;432.851
5398;default;major_purchase;15.99;0.45;713.878
17043;default;debt_consolidation;11.92;0.3;105.275
15259;default;credit_card;27.35;0.4;13.523
27703;paid off;credit_card;7.07;0.45;519.905
10090;default;debt_consolidation;23.87;0.3;141.551
40864;paid off;credit_card;28.44;0.6;803.966
39420;paid off;home_improvement;25.42;0.55;693.962
35237;paid off;debt_consolidation;27.96;0.65;101.268
36495;paid off;credit_card;9.17;0.6;352.151
19441;default;debt_consolidation;7.1;0.35;494.479
17519;default;debt_consolidation;17.33;0.6;304.848
8629;default;other;4.37;0.4;729.312
27802;paid off;debt_consolidation;28.11;0.6;817.714
42637;paid off;debt_consolidation;3.17;0.6;36.504
12811;default;debt_consolidation;25.63;0.2;151.926
11313;default;other;18.43;0.4;952.213
27436;paid off;debt_consolidation;26.09;0.45;319.655
14022;default;debt_consolidation;21.16;0.5;17.772
12716;default;debt_consolidation;9.47;0.5;144.162
27815;paid off;other;21.45;0.5;640.194
39439;paid off;credit_card;4.03;0.7;326.875
1221;default;credit_card;14.73;0.45;266.569
43048;paid off;credit_card;11.31;0.45;95.664
23255;paid off;debt_consolidation;18.19;0.45;77.754
16584;default;debt_consolidation;2.42;0.5;702.867
40478;paid off;debt_consolidation;10.31;0.3;893.077
16968;default;credit_card;3.34;0.55;308.528
4179;default;debt_consolidation;22.58;0.4;903.776
17110;default;other;15.46;0.3;937.884
27075;paid off;debt_consolidation;29.83;0.45;776.883
14873;default;debt_consolidation;23.01;0.6;138.504
38560;paid off;debt_consolidation;23.04;0.6;0.78296
19217;default;debt_consolidation;20.76;0.5;77.856
42172;paid off;debt_consolidation;13.75;0.55;355.783
40496;paid off;credit_card;15.73;0.4;740.681
33879;paid off;medical;14.59;0.65;17.532
11479;default;other;14.03;0.55;11.128
30895;paid off;debt_consolidation;17.17;0.55;137.174
33895;paid off;debt_consolidation;21.32;0.65;70.118
10711;default;debt_consolidation;32.82;0.3;151.377
34231;paid off;debt_consolidation;15.32;0.55;572.492
7004;default;medical;14.9;0.45;44.305
38310;paid off;debt_consolidation;14.61;0.3;822.615
12979;default;credit_card;16.83;0.45;759.063
20119;default;debt_consolidation;4.99;0.6;34.018
5943;default;home_improvement;5.61;0.65;0.989824
31415;paid off;debt_consolidation;17.76;0.4;787.657
26295;paid off;credit_card;22.56;0.45;102.585
10061;default;credit_card;20.75;0.55;73.008
9005;default;home_improvement;25.9;0.25;75.466
34366;paid off;debt_consolidation;14.64;0.35;152.327
17669;default;debt_consolidation;28.42;0.3;133.317
4156;default;small_business;7.54;0.45;160.149
39235;paid off;major_purchase;2.82;0.55;153.822
3196;default;major_purchase;7.4;0.6;77.829
2428;default;small_business;14.16;0.75;579.288
30023;paid off;debt_consolidation;12.21;0.5;12.372
17003;default;debt_consolidation;15.96;0.4;48.516
12437;default;credit_card;17.56;0.65;124.749
10539;default;credit_card;18.98;0.55;12.239
38976;paid off;credit_card;26.96;0.7;108.892
22212;default;credit_card;2.57;0.5;790.869
21525;default;debt_consolidation;12.19;0.6;65.424
15348;default;debt_consolidation;21.59;0.55;140.686
30711;paid off;home_improvement;6.4;0.7;54.744
8666;default;small_business;27.68;0.6;89.165
25324;paid off;other;5.27;0.15;196.645
5150;default;home_improvement;13.3;0.7;2.976
3925;default;credit_card;18.72;0.5;332.769
41526;paid off;debt_consolidation;12.09;0.75;467.727
23279;paid off;debt_consolidation;29.49;0.35;97.377
17560;default;other;28.18;0.4;12.959
32594;paid off;debt_consolidation;21.18;0.5;117.431
33364;paid off;debt_consolidation;19.98;0.5;541.725
28296;paid off;debt_consolidation;22.73;0.6;57.734
30316;paid off;medical;1.54;0.75;453.408
14423;default;other;14.91;0.55;26.412
9064;default;debt_consolidation;18.42;0.3;336.944
21645;default;credit_card;25.3;0.35;113.407
46185;paid off;debt_consolidation;20.26;0.5;737.095
27275;paid off;debt_consolidation;5.44;0.65;826.695
35972;paid off;credit_card;8.76;0.65;73.786
4815;default;other;12.69;0.65;383.265
1000;default;major_purchase;2.6;0.65;4.682
23847;paid off;credit_card;10.98;0.35;774.584
5732;default;credit_card;21.82;0.6;4.047
43906;paid off;credit_card;11.87;0.55;122.147
46041;paid off;credit_card;3.89;0.65;28.851
7983;default;debt_consolidation;15.72;0.55;873.831
39267;paid off;debt_consolidation;26.39;0.55;131.814
11079;default;credit_card;31.74;0.25;126.508
36699;paid off;home_improvement;4.35;0.65;276.691
40364;paid off;debt_consolidation;0.61;0.6;191.927
40257;paid off;credit_card;16.49;0.65;728.723
6316;default;other;16.88;0.45;466.535
44648;paid off;credit_card;17.7;0.5;883.794
45241;paid off;other;9.8;0.65;24.075
22728;default;credit_card;27.51;0.55;75.696
20168;default;credit_card;7.13;0.65;11.764
1026;default;small_business;7.05;0.65;92.112
23500;paid off;debt_consolidation;2.66;0.55;299.372
3665;default;debt_consolidation;1.11;0.35;689.291
32541;paid off;debt_consolidation;2.37;0.55;31.492
11510;default;debt_consolidation;22.71;0.4;675.212
40199;paid off;debt_consolidation;18.83;0.5;348.608
30958;paid off;debt_consolidation;20.9;0.55;6.526
33838;paid off;debt_consolidation;23.47;0.45;142.176
11977;default;debt_consolidation;12.4;0.4;109.884
26524;paid off;debt_consolidation;18.35;0.55;493.128
8504;default;debt_consolidation;13.29;0.4;56.448
27231;paid off;debt_consolidation;13.8;0.55;946.717
214;default;credit_card;11.76;0.4;464.592
28612;paid off;debt_consolidation;13.27;0.6;564.823
21889;default;debt_consolidation;28.47;0.4;146.723
44838;paid off;credit_card;7.49;0.5;307.214
33967;paid off;credit_card;11.7;0.55;746.143
29923;paid off;debt_consolidation;10.22;0.55;332.089
35366;paid off;credit_card;9.73;0.75;500.667
12960;default;debt_consolidation;6.44;0.5;703.044
35285;paid off;debt_consolidation;4.96;0.55;111.808
24493;paid off;other;8.18;0.6;47.521
23849;paid off;debt_consolidation;14.88;0.55;5.16
36494;paid off;debt_consolidation;24.5;0.55;122.121
11776;default;debt_consolidation;13.7;0.55;108.142
30969;paid off;credit_card;15.92;0.5;828.579
31428;paid off;debt_consolidation;27.3;0.65;51.014
8588;default;debt_consolidation;8.99;0.6;661.458
4441;default;home_improvement;8.56;0.65;325.412
29691;paid off;debt_consolidation;24.75;0.6;888.075
44427;paid off;debt_consolidation;10.74;0.5;743.777
950;default;debt_consolidation;17.19;0.65;95.665
19821;default;credit_card;18.67;0.55;999.823
39258;paid off;major_purchase;2;0.6;695.156
36093;paid off;home_improvement;15.33;0.55;337.138
17337;default;debt_consolidation;9.82;0.6;134.991
44142;paid off;debt_consolidation;10.34;0.6;97.322
707;default;debt_consolidation;3.88;0.45;535.946
26558;paid off;debt_consolidation;15.97;0.65;309.233
14824;default;debt_consolidation;16.27;0.4;106.469
10930;default;debt_consolidation;25.17;0.4;694.073
39815;paid off;home_improvement;15.8;0.7;430.813
11383;default;debt_consolidation;27.35;0.3;149.549
37706;paid off;medical;12.2;0.6;235.244
6783;default;debt_consolidation;28.96;0.25;116.576
5620;default;other;13.58;0.4;796.579
37697;paid off;other;15.99;0.4;130.851
11031;default;debt_consolidation;28.86;0.4;750.885
12047;default;debt_consolidation;20.18;0.35;733.633
12793;default;debt_consolidation;25.85;0.35;152.219
18012;default;debt_consolidation;14.82;0.4;85.044
29866;paid off;debt_consolidation;9.57;0.45;868.005
8114;default;debt_consolidation;28.82;0.5;956.331
27842;paid off;debt_consolidation;16.8;0.5;113.013
12516;default;debt_consolidation;27.87;0.6;150.309
36988;paid off;home_improvement;16.24;0.6;438.012
8051;default;debt_consolidation;26.4;0.4;549.391
30592;paid off;debt_consolidation;13.56;0.7;955.269
30795;paid off;other;3.9;0.4;15.516
25350;paid off;debt_consolidation;14.35;0.7;788.431
28074;paid off;other;4.84;0.55;911.325
10466;default;debt_consolidation;15.66;0.4;443.084
3044;default;debt_consolidation;11.76;0.5;339.105
3140;default;small_business;17.97;0.45;106.651
44723;paid off;debt_consolidation;20.78;0.45;514.283
37205;paid off;credit_card;22.44;0.6;993.891
9836;default;debt_consolidation;21.9;0.6;862.457
43054;paid off;credit_card;11.42;0.5;10.466
40297;paid off;credit_card;6.95;0.5;406.708
12131;default;debt_consolidation;26.98;0.35;101.467
37689;paid off;debt_consolidation;11.9;0.4;580.514
37659;paid off;debt_consolidation;2.04;0.9;63.882
8877;default;debt_consolidation;2.26;0.3;341.745
16873;default;debt_consolidation;17.33;0.4;485.906
43498;paid off;credit_card;19.55;0.4;122.752
17462;default;debt_consolidation;31.88;0.55;138.533
36546;paid off;credit_card;18.44;0.7;135.314
19502;default;debt_consolidation;24.87;0.35;154.262
17690;default;debt_consolidation;29.66;0.45;143.145
32162;paid off;debt_consolidation;11.62;0.55;398.283
184;default;other;12.94;0.4;372.511
37856;paid off;home_improvement;0.29;0.35;778.549
13311;default;debt_consolidation;21.13;0.4;186.978
26930;paid off;credit_card;19.65;0.8;604.042
14989;default;small_business;14.76;0.3;68.444
3152;default;debt_consolidation;6.68;0.5;311.896
20561;default;debt_consolidation;20.38;0.3;158.146
40699;paid off;home_improvement;2.92;0.75;5.382
20089;default;major_purchase;21.91;0.6;11.58
33997;paid off;debt_consolidation;7.6;0.7;382.042
19195;default;debt_consolidation;15.37;0.6;20.042
25569;paid off;debt_consolidation;10.57;0.3;736.937
13187;default;credit_card;6.36;0.55;992.338
41995;paid off;debt_consolidation;22.24;0.35;141.165
38030;paid off;debt_consolidation;7.85;0.55;11.233
42984;paid off;credit_card;21.08;0.45;780.817
11806;default;debt_consolidation;28.9;0.5;26.115
40178;paid off;debt_consolidation;10.11;0.6;691.787
23600;paid off;other;23.25;0.5;341.153
45036;paid off;debt_consolidation;0.7;0.8;636.176
26579;paid off;debt_consolidation;13.62;0.5;151.092
11868;default;debt_consolidation;24.69;0.4;946.571
27940;paid off;debt_consolidation;6.92;0.4;780.621
20888;default;credit_card;17.58;0.4;129.233
7409;default;home_improvement;12;0.35;645.082
36222;paid off;debt_consolidation;9.64;0.4;294.936
16639;default;major_purchase;19.39;0.45;5.259
26323;paid off;other;9.73;0.5;353.889
43638;paid off;debt_consolidation;15.82;0.75;597.792
5218;default;home_improvement;5.77;0.55;222.609
43257;paid off;debt_consolidation;12.18;0.45;329.326
38758;paid off;debt_consolidation;17.9;0.45;159.782
23698;paid off;credit_card;7.16;0.55;855.557
27882;paid off;credit_card;34.01;0.2;687.472
43943;paid off;debt_consolidation;11.49;0.7;917.767
